company_name,category,sub_category,area,address,website,phone,email,source_url,source_type
Surat Smart City Development Ltd (SSCDL),Government & PSU,Smart City SPV,Surat,"1st Floor, South Zone Office, SMC, Opp. Satyanagar, Udhna, Surat-394210",https://www.suratsmartcity.com/,+91-261-2423750,info@suratsmartcity.com,https://www.suratsmartcity.com/SSCDL/Management,Official company site
Kira Diam,Lab-Grown Diamond,CVD diamond grower / exporter,Khajod (Surat Diamond Bourse) / Magob,A-1201 Surat Diamond Bourse Block 117 Dream City Khajod Surat 395007; also Plot 1 Block 26 FP-39 Opp Ashirwad Textile Market Magob 395010,https://kiradiam.com/,+91 261 691 4500,infosurat@kiradiam.com,https://kiradiam.com/contact-us/,Company website
"ArcelorMittal Nippon Steel India (AM/NS, ex-Essar Steel) Hazira",GIDC Manufacturing,Steel / Process Plant,Hazira,"27 km, Surat-Hazira Road, Hazira, Surat 394270, Gujarat",https://www.amns.in/,,,https://www.amns.in/contact-us,Company website
Larsen & Toubro (A.M. Naik Heavy Engineering Complex),GIDC Manufacturing,Heavy Engineering / Process Plant Equipment,Hazira,"Gate No. 10, A M Naik Heavy Engineering Complex, PO Bhata, Surat 394510, Gujarat",https://www.larsentoubro.com/heavy-engineering/,+91 261 2203252,ltshf.sales@larsentoubro.com,https://www.larsentoubro.com/heavy-engineering/capabilities/manufacturing-facilities/hazira,Company website
Reliance Industries Ltd - Hazira Manufacturing Division,GIDC Manufacturing,Petrochemicals / Polymers / Polyester,Hazira,"Hazira Manufacturing Division, Surat, Gujarat",https://www.ril.com/,,,https://en.wikipedia.org/wiki/Hazira_Manufacturing_Division,Wikipedia / company
Kiran Multi Super Speciality Hospital & Research Center,Healthcare,Multispecialty / super-speciality hospital,Katargam,"Vasta Devdi Road, Near Sumul Dairy, Katargam, Surat 395004",https://www.kiranhospital.com/,+91 261 716 1111,,https://www.kiranhospital.com/contact_us,Hospital website
Greenlab Diamonds LLP,Lab-Grown Diamond,CVD diamond grower / exporter,Ichhapore (Hazira Rd),"C-01 to C-04, Gujarat Hira Bourse, Ichchhapore, Surat 394510",https://greenlab.diamonds/,+91 22 4073 0730,info@greenlab.diamonds,https://greenlab.diamonds/contact-us/,Company website
Bhatia Mobile (Bhatia Communications & Retail India Ltd),Retail & Supermarket,Mobile retail chain,"HQ Ring Rd; stores across Surat (Piplod, Honey Park, Bamroli, etc.)",132 Dr Ambedkar Shopping Centre Ring Rd Surat 395002 (registered office),https://bhatiamobile.com,+919227610000,support@bhatiamobile.com,https://bhatiamobile.com/about-us/,Company website + Tracxn
Surat Municipal Corporation (SMC),Government & PSU,Municipal Corporation,Surat,"Muglisara, Main Road, Surat-395003",https://www.suratmunicipal.gov.in/,,,https://www.suratmunicipal.gov.in/,Official .gov.in
Kiran Gems Pvt Ltd,Diamond & Bourse,World's largest natural polished diamond manufacturer,Varachha,"FP 36, A.K. Road, Varachha, Near Umiyadham Temple, Surat 395008",https://www.kirangems.com/,+91 261 250 4444,infosurat@kirangems.com,https://www.kirangems.com/,Company site + search snippet
Sardar Vallabhbhai National Institute of Technology (SVNIT),Education,University (NIT/Engineering),"Ichchhanath, Athwa","Ichchhanath, Surat-395007, Gujarat",svnit.ac.in,0261-2259571,director@svnit.ac.in,https://surat.nic.in/public-utility/sardar-vallabhbhai-national-institute-of-technology/,Govt directory + official site
NJ India Invest Private Limited,Finance & Professional,NBFC / Wealth distribution,Udhna,"Block No.901 & 902, 6th Floor, 'B' Tower, Udhna Udyog Nagar Sangh Commercial Complex, Central Road No.10, Udhna, Surat-394210",https://www.njgroup.in/,,,https://www.njgroup.in/contact-us,Company site
Aether Industries Ltd,GIDC Manufacturing,Specialty Chemicals,GIDC Sachin,"Plot No. 8202/1, Road No. 8, GIDC Industrial Estate, Sachin, Surat, Gujarat",https://aether.co.in/,,,https://aether.co.in/about-us/,Company website
Anupam Rasayan India Ltd,GIDC Manufacturing,Specialty Chemicals,GIDC Sachin,"8110, Sachin G.I.D.C. Estate, Sachin, Surat 394230, Gujarat",https://www.anupamrasayan.com/,+91-261-2398991,offeratthe@anupamrasayan.com,https://www.anupamrasayan.com/investors/contact-us,Company website
General Group (General Polytex),Textile Manufacturing,Weaving (waterjet/airjet),Ring Road,"A Wing, 601/602, International Commerce Center (ICC), Near Kadiwala School, Ring Road, Surat 395002",https://www.generalgroup.in/,,,https://www.indiantextilemagazine.in/surat-fabric-manufacturer-general-group-combines-scale-with-sustainability-plans-ipo/,News/Trade magazine
VinFast Surat (Chandan Car),Automobile Dealership,Car dealer (EV - VinFast),Piplod,"Piplod, Surat (3,000 sq.ft. showroom)",https://vinfastauto.in/,,,https://www.autocarindia.com/industry/first-vinfast-india-showroom-inaugurated-in-surat-436380,News article
