company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Greenlab Diamonds LLP|Lab-Grown Diamond|CVD diamond grower / exporter|Ichhapore (Hazira Rd)|C-01 to C-04, Gujarat Hira Bourse, Ichchhapore, Surat 394510|https://greenlab.diamonds/|+91 22 4073 0730|info@greenlab.diamonds|https://greenlab.diamonds/contact-us/|Company website|Very large - 2000 employees, 1000 reactors, 95000 sq ft|GPU workstations for diamond planning/grading; reactor-control PCs; rack servers + NAS for inventory/ERP; heavy multi-camera CCTV + access control; managed switches + enterprise Wi-Fi; AMC|World's largest LGD cultivator; pivoted natural to lab; revenue Rs 670 Cr FY24; new purpose-built factory|Rs 670 Cr revenue FY24, 1000 reactors, 25MW solar over 90 acres, new 4-storey factory|95|A|Owner/Director (Patel family - Mukesh/Jitesh/Vipul Patel)|Contact found|One of the largest LGD growers in Surat; massive IT/security spend potential
Kira Diam|Lab-Grown Diamond|CVD diamond grower / exporter|Khajod (Surat Diamond Bourse) / Magob|A-1201 Surat Diamond Bourse Block 117 Dream City Khajod Surat 395007; also Plot 1 Block 26 FP-39 Opp Ashirwad Textile Market Magob 395010|https://kiradiam.com/|+91 261 691 4500|infosurat@kiradiam.com|https://kiradiam.com/contact-us/|Company website|Very large - 4000+ reactors, 1M sq ft, 250000 carats/month|GPU workstations for planning/grading; large reactor-control PC fleet; data-center rack servers + storage; large-scale CCTV + access control; core/distribution switches + Wi-Fi; AMC|World's largest CVD grower; expanded 2600 to 4000 reactors recently; CEO Mehul Vaghani|Expanded to 4000 reactors (2026), 75MW solar scaling to 150MW, 250k polished carats/month|97|A|Owner/Director or IT Manager (CEO Mehul Vaghani)|Contact found|GJEPC-reported expansion to 4000 reactors; flagship enterprise account
Bhanderi Lab Grown Diamonds LLP|Lab-Grown Diamond|CVD diamond manufacturer / exporter|Katargam|4th Floor BLGD Corporation Akshar Building Opp Mehta Petrol Pump Katargam Surat 395004|https://blgdlab.com/|+91 85003 85003|info@blgdlab.com|https://blgdlab.com/contact-bhanderi-diamonds|Company website|Large - leading manufacturer/exporter, global presence|GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|Type IIA CVD specialist; GIA/IGI/GCAL/HRD certified; uses CVD reactors; multiple facilities|Multiple facilities (Katargam + Khodiyar Nagar); active CVD reactor operations|88|A|Owner/Director or IT Manager|Contact found|Second Katargam/Khodiyar Nagar address also verified
Diyam Impex|Lab-Grown Diamond|CVD & HPHT diamond manufacturer / distributor|Gitanjali|102 Maitri Buildings nr Jeevandhara Hotel Gitanjali Surat Gujarat|https://www.diyamimpex.com/|+91 98251 07116|diyamimpex@gmail.com|https://www.diyamimpex.com/|Company website|Large - one of the largest LGD manufacturers in Surat|GPU workstations for planning/grading software; reactor/process PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|Among largest LGD manufacturers in Surat supplying globally; CVD + HPHT|Positioned as one of Surat's largest LGD manufacturers; global distribution|84|A|Owner/Director|Contact found|Multiple phone numbers listed on site
Leranath Diamond|Lab-Grown Diamond|CVD & HPHT diamond manufacturer / exporter|Katargam|Office 102 INSPIRE The Jewel House Beside KAPU Gems Near Kiran Hospital Vasta Devdi Rd Katargam Surat 395004|https://leranathdiamonds.com/|+91 90167 68648|Leranath.diamonds@gmail.com|https://leranathdiamonds.com/contact-us/|Company website|Medium-large - est 2014, ISO 9001, solar-powered factory|GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|ISO 9001 certified, solar-powered factory, exports globally; CVD + HPHT|Solar-powered ISO-certified factory; separate manufacturing unit at Jagdish Estate|82|A|Owner/Director or Factory Manager|Contact found|Factory address Jagdish Estate Lal Building near SMC Community Hall 395004
ABD Diamonds Pvt Ltd|Lab-Grown Diamond|CVD & HPHT diamond manufacturer / exporter|Surat (+ Ahmedabad)|Manufacturing hubs in Surat and Ahmedabad, Gujarat|https://abddiamonds.com/|+91 70165 80812|info@abddiamonds.com|https://abddiamonds.com/contact/|Company website|Large - since 2017, growth+cutting+grading facilities, global exports|GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|At forefront of CVD/HPHT since 2017; exports US/UK/Canada/UAE/HK/Europe; in-house growing|Growth, cutting and grading facilities across Surat + Ahmedabad; export expansion|85|A|Owner/Director or IT Manager|Contact found|Surat-specific street address not visible; two-city operation
Harsha Diamond|Lab-Grown Diamond|CVD & HPHT diamond supplier / manufacturer|Surat|Surat, Gujarat (street address not visible on source)|https://harshadiamond.com/|+91 78889 72030||https://harshadiamond.com/|Company website|Large - one of the largest CVD/HPHT distributors in India, 15 yrs|GPU workstations for planning/grading; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|One of largest CVD/HPHT/LGD distributors in India; 15 years trading globally|Large distributor scale; global trade footprint|78|A|Owner/Director|Contact found|Phone visible on site; email not visible; full address not visible
Excellent Corporation|Lab-Grown Diamond|CVD & HPHT diamond supplier / jeweler|Varachha|152 Ankur Society Beside Gate No 1 Near Ankur Circle A.K Road Varachha Surat 395006|https://www.excellent-corporation.com/|+91 82001 27828||https://www.excellent-corporation.com/|Company website|Medium - large IGI/GIA inventory + custom jewelry|GPU workstations for planning/grading; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|Large IGI/GIA certified inventory; CVD + HPHT + jewelry; proprietor Gaurang Vasoya|Growing certified-stone inventory and custom jewelry line|74|B|Owner (Gaurang Vasoya)|Contact found|WhatsApp +91 81404 59170 also listed; email not visible
Rahi Impex|Lab-Grown Diamond|CVD diamond manufacturer / wholesaler|Mahidharpura|410 to 418 4th Floor Shree Hari Building opp Shryu Building Jadakhadi Mahidharpura Surat 395003|https://www.rahiimpex.in/|+91 97124 33366||https://www.rahiimpex.in/contact/|Company website|Medium-large - trusted Surat LGD manufacturer/wholesaler|GPU workstations for planning/grading; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|Among most trusted/largest CVD manufacturers in Surat; Mumbai + Surat presence|Two-city operation (Surat + Mumbai); growing wholesale base|76|A|Owner/Director|Contact found|Email on listing looked auto-generated so omitted; phone verified across listings
Anjali Diamonds Pvt Ltd|Lab-Grown Diamond|CVD diamond grower / manufacturer|Surat|3rd Floor Plot No 211-211 Paiky Surat 395006||+91 261 255 4151|sales2@anjalidiamonds.com|https://www.exportersindia.com/anjali-diamonds-surat/|ExportersIndia listing|Medium-large - grower of Type IIA CVD, GJEPC exhibitor|GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC|Grower of Type IIA CVD diamonds; GJEPC IIJS exhibitor; in-house growing|In-house CVD growing; GJEPC trade-show presence (IIJS Premiere)|83|A|Owner/Director|Contact found|GJEPC exhibitor profile EXH209
