company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
B. Virani & Co.|Diamond & Bourse|Diamond cutting & polishing manufacturer|Varachha|B 7 8 9 10 Diamond Estate, Near Baroda Prestige, Varachha Road, Varachha, Surat 395006|http://www.bvirani.com/||| https://www.naturaldiamonds.com/in/inside-the-world-of-diamonds/surat-the-heart-of-natural-diamnond-cutting-polishing-industry/|Industry article + company site|50+ yrs; 22,000+ carats/month rough processed|Diamond-planning workstations (Sarine/DiamCalc); multi-floor managed networking; heavy CCTV + biometric access control; servers + NAS; office desktops; AMC|Large monthly throughput indicates ongoing tech upgrades|Long-established large processor scaling capacity|82|A|Owner/Partner or IT/Security head|Existence-verified (contact pending)|Major natural-diamond cutting/polishing house; high-security manufacturing facility
Venus Jewel|Diamond & Bourse|Polished natural diamond manufacturer|Sumul Dairy Road|The Venus Estate, Near Shantiniketan Society, Sumul Dairy Road, Surat 395003|https://www.venusjewel.com/|+91 261 253 1444|vj.surat@venusjewel.com|https://www.venusjewel.com/stpg/Best-Diamond-Manufacturing-Unit.html|Company site + search snippet|Since 1969; integrated Surat manufacturing facility|Diamond-planning workstations; integrated-facility managed networking; CCTV + biometric access; servers + NAS; AMC|Integrated manufacturing facility; premium high-value diamonds|Established large manufacturer with Surat + Mumbai ops|84|A|Owner/Partner (Hitesh R. Shah) or Admin/IT head|Contact found|Premium polished diamonds; partner contact captured
Shree Ramkrishna Exports (SRK)|Diamond & Bourse|Diamond cutting/polishing & jewellery exporter|Katargam|99 SRK Empire, Vastadevdi Road, Katargam, Surat 395004|https://srk.one/|+91 261 4040 555|hitesh.gi@srk.me|https://srk.one/contact.html|Company site + search snippet|Since 1964; 2000+ master artisans; also Sachin SEZ unit|Diamond-planning workstations at scale; campus-wide managed networking; large CCTV + biometric access; data center servers + NAS; AMC|Multiple facilities (SRK Empire + Sachin SEZ); large workforce|Large multi-site exporter; De Beers sightholder|90|A|Owner/Partner or IT/Security head|Contact found|SRK Empire HQ Katargam plus Sachin GIDC SEZ unit
Kiran Gems Pvt Ltd|Diamond & Bourse|World's largest natural polished diamond manufacturer|Varachha|FP 36, A.K. Road, Varachha, Near Umiyadham Temple, Surat 395008|https://www.kirangems.com/|+91 261 250 4444|infosurat@kirangems.com|https://www.kirangems.com/|Company site + search snippet|Since 1985; world's largest natural diamond manufacturer; offices in Mumbai/Surat/UAE/USA|Massive diamond-planning workstation fleet; multi-floor managed networking; large-scale CCTV + biometric access; servers + NAS/SAN; AMC|First mover to Surat Diamond Bourse; largest hi-tech machine user in industry|Global expansion; SDB office shift history|92|A|Owner/Partner (Lakhani family) or IT/Security head|Contact found|Largest user of advanced hi-tech diamond manufacturing systems
Hari Krishna Exports Pvt Ltd|Diamond & Bourse|Diamond manufacturer & exporter|Varachha / Ichhapore|9 Hari Krishna Campus, Near Vraj Chowk, Behind Sarthana Jakatnaka, Varachha Road, Surat; also Plot D-02 Gujarat Hira Bourse, Ichhapore 394510|https://www.hk.co/||| https://www.hkimpex.com/contact/|Company site + search snippet|One of largest diamond mfg units in world; 100% solar-powered Surat unit since 2018|Diamond-planning workstation fleet; campus-wide managed networking; large CCTV + biometric access; servers + NAS; solar/energy monitoring; AMC|Large 45-acre-scale campus; renewable energy investment; GJEPC reference|Multi-site (HK Campus + Gujarat Hira Bourse); ongoing capacity|90|A|Owner/Partner (Savji Dholakia family) or IT/Security head|Existence-verified (contact pending)|HK Campus Varachha plus Gujarat Hira Bourse Gem & Jewellery Park unit
Dharmanandan Diamonds Pvt Ltd|Diamond & Bourse|Polished diamond manufacturer|Katargam (Gotalawadi)|Behind Patel Faliya, Gotalawadi, Katargam, Surat 395004|https://www.ddpl.com/||| https://www.indiamart.com/dharmanandan-diamond/aboutus.html|IndiaMART profile + search snippet|Est. 1985; 500,000 sq ft BSI-certified factory; 6500+ artisans; in-house medical/dining/AC/security|Diamond-planning workstations; multi-floor managed networking; heavy CCTV + biometric access; servers + NAS; AMC|Existing security system + AC infra signals upgrade cycle; De Beers sightholder|Large workforce (6500+); 500k sq ft facility|88|A|Owner/Partner or Admin/Security head|Existence-verified (contact pending)|Already runs centrally AC, security system - strong CCTV/AMC fit
Laxmi Diamond Pvt Ltd|Diamond & Bourse|Polished diamond manufacturer|Katargam|Bhagu Bhula Compound, Nr Gajera Circle, Katargam Fulpada Road, Katargam, Surat 395004|https://laxmidiamond.com/||| https://www.justdial.com/Surat/Laxmi-Diamond-Pvt-Ltd-Near-Gajera-Circle-CNG-Gas-Station-Katargam/0261PX261-X261-140228143117-M4M9_BZDET|JustDial + search snippet|Est. 1972; 7000+ employees; units in Surat, Amreli, Botswana|Diamond-planning workstations; multi-site managed networking; large CCTV + biometric access; servers + NAS; AMC|Continued innovation & expansion (Surat/Amreli/Botswana)|Very large workforce (7000+); multi-country footprint|87|A|Owner/Partner or IT/Security head|Existence-verified (contact pending)|Manufacturing head office Katargam; GIA-certified diamonds
Rosy Blue India Pvt Ltd|Diamond & Bourse|Diamond manufacturer & merchant|Bhagatalao|101 Vijay Chambers, Near City Post Office, Chauta Pool, Bhagatalao, Surat 395003|https://www.rosyblue.in/||compliance@rosyblue.com|https://www.justdial.com/Surat/Rosy-Blue-INDIA-Pvt-Ltd-Near-City-Post-Office-Chauta-Pool-Bhagatalao/0261P261STDS000206_BZDET|JustDial + search snippet|International Rosy Blue Group; large global diamond manufacturer|Diamond-planning workstations; managed networking; CCTV + access control; servers + NAS; AMC|Part of global Rosy Blue group; rough + finished mfg|Global multinational presence|80|A|Owner/Partner or Admin/IT head|Contact found|Surat office of global Rosy Blue group; compliance email captured
Dimexon Diamonds Ltd|Diamond & Bourse|Diamond manufacturer (traceability focus)|Choryasi|Choryasi, Surat 395001 (Surat unit); HQ Raheja Chambers, Nariman Point, Mumbai|https://dimexon.com/||infoindia@dimexon.com|https://www.sulekha.com/dimexon-diamonds-ltd-choryasi-surat-contact-address|Sulekha + search snippet|~246 employees; full-traceability diamonds|Diamond-planning workstations; managed networking; CCTV + access control; traceability/ERP servers + NAS; AMC|Traceability/ESG focus drives IT investment|Established manufacturer with global supply|74|B|Owner/Partner or IT head|Contact found|Surat manufacturing unit; corporate Mumbai
Sheetal Manufacturing Company Pvt Ltd|Diamond & Bourse|Diamond manufacturer & exporter|A.K. Road|Office 701, Plot 13, A-Wing, Sheetal Avenue, Nr Bhavani Circle, A.K. Road, Surat 395008|https://www.sheetal.co/||| https://www.justdial.com/Surat/Sheetal-Manufacturing-Company-Near-Bhavani-Circle-A-K-Road/0261PX261-X261-140731163342-G5U6_BZDET|JustDial + search snippet|Est. 1985; global presence Antwerp/Dubai/Mumbai/Surat/HK/NY|Diamond-planning workstations; managed networking; CCTV + access control; servers + NAS; AMC|Technologically advanced Surat setups; De Beers sightholder|Global multi-office expansion|82|A|Owner/Partner or IT/Security head|Existence-verified (contact pending)|Sheetal Group; among most tech-advanced setups in Surat
