company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Kalamandir Jewellers Limited|Jewellery|Large retailer/showroom chain|Athwa (Ghod Dod Road)|Plot No-124, Ghod Dod Rd, near Indoor Stadium Lane, Athwa, Surat, Gujarat 395007|https://kalamandirjewellers.com/|+91 261 229 5000||https://www.helloindia.co/Surat/Kalamandir-Jewellers-Ltd/Surat-Ho/ContactUs|directory|Large (650+ staff, multi-state chain)|high-density CCTV + access control (critical); POS/billing PCs; jewellery showroom networking + Wi-Fi; server/NAS; AMC|Multiple showrooms across Gujarat/Maharashtra; corporate house at Vesu|New corporate house + Vesu/Dumas Road showrooms|90|A|Owner/Director or Admin manager|Contact found|Listed jeweller since 1984/1986 Kosamba; HO ph 0261-3310000 also listed
Tanishq (Titan) - Ghod Dod Road|Jewellery|Branded retailer/showroom|Ghod Dod Road|F.P. No. 42/A & B-Topp, Ghod Dod Rd, opp. St. Xaviers School, Surat 395001|https://stores.tanishq.co.in/|0261-2650069||https://www.helloindia.co/Surat/Tanishq-Showroom/Ghod-Dod-Road/ContactUs|directory|Large (national brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC|Multiple Surat stores (Ghod Dod, Adajan); festive scaling|Adajan store also operating|88|A|Store/Admin manager|Contact found|Mobile 9978812578 also listed
Malabar Gold & Diamonds - Ghod Dod Road|Jewellery|Branded retailer/showroom|Ghod Dod Road (Athwa)|Picnic Retail, Opp. Amarakunj Society, Rangila Park Char Rasta, Ghod Dod Road, Surat 395007|https://www.malabargoldanddiamonds.com/|0261 2992916||https://o2osell.com/shops/malabar-gold-and-surat|directory|Large (national/intl brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC|Recent Surat store launch promotions|New showroom launch|88|A|Store/Admin manager|Contact found|Phones 2994916/2990916 also reported
Kalyan Jewellers - Adajan|Jewellery|Branded retailer/showroom|Adajan|No-G9, G10, 109, 110, Universal Trade Centre, LP Savani Road, Opp. Indian Oil Pump, Adajan, Surat 395009|https://store.kalyanjewellers.net/|||https://store.kalyanjewellers.net/kalyan-jewellers-store-adajan-surat/sur/gold-rate|company_website|Large (national brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC|Multiple Surat showrooms (Adajan, Ghod Dod)|Ghod Dod Road branch also operating|86|A|Store/Admin manager|Existence-verified (contact pending)|Founded 1993; multi-city chain
Reliance Jewels - Adajan|Jewellery|Branded retailer/showroom|Adajan|Unit No 3, GF, Universal Trade Center, LP Savani Road, Adajan, Surat, Gujarat|https://stores.reliancejewels.com/|||https://stores.reliancejewels.com/reliance-jewels-jewelry-store-adajan-surat-343351/Home|company_website|Large (Reliance Retail brand)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC|Reliance Retail expansion in Surat|New Adajan store|85|A|Store/Admin manager|Existence-verified (contact pending)|Partial phone listed (+9196190196xx) not captured cleanly
Tribhovandas Bhimji Zaveri (TBZ) - Athwalines|Jewellery|Branded retailer/showroom|Athwalines|SNS House, Athwalines, Surat 395001 (Near Lal Bunglow, Opp. Cable Bridge)|https://www.tbztheoriginal.com/|||https://www.tbztheoriginal.com/locations|company_website|Large (national heritage brand)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC|37 showrooms in 23 cities; national expansion|Established multi-state chain|82|A|Store/Admin manager|Existence-verified (contact pending)|Heritage brand since 1864
ORRA Fine Jewellery - Westfield Mall|Jewellery|Branded retailer/showroom|Westfield Mall|Westfield Mall, Surat (ORRA store)|https://www.orra.co.in/|||https://www.orra.co.in/stores/gujarat/surat/westfield-mall|company_website|Large (national brand, mall store)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; AMC|Mall-format store; brand expansion|New mall store|80|A|Store/Admin manager|Existence-verified (contact pending)|Brand heritage since 1888
BlueStone - Ghod Dhod Road|Jewellery|Branded retailer/showroom|Ghod Dod Road|1st & 2nd Floor, Cygnus House, Amarkunj corner, Nr Jade Blue, Ghod Dhod Road, Surat|https://www.bluestone.com/|8655352036||https://www.bluestone.com/stores/ghod-dhod-road-surat-reslnk-TWpRMA==/catalog.html|company_website|Large (omnichannel brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; AMC|Multiple Surat stores (Ghod Dod, LP Savani)|Multi-store Surat expansion|82|A|Store/Admin manager|Contact found|
BlueStone - LP Savani (Adajan)|Jewellery|Branded retailer/showroom|Adajan (LP Savani)|Unit No. 05 GF and 105 First Floor, Building C, Universal Trade Center, LP Savani Road, Adajan, Surat|https://www.bluestone.com/|8655650958||https://www.bluestone.com/stores/lp-savani-surat-reslnk-TWpJdw==/catalog.html|company_website|Large (omnichannel brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; AMC|New LP Savani store|New store|80|A|Store/Admin manager|Contact found|
CaratLane - Adajan|Jewellery|Branded retailer/showroom|Adajan|Shop no 1, Mangaldeep Complex, besides Tanishq Showroom, near LP Savani Circle, Adajan, Surat 395009|https://www.caratlane.com/|||https://www.caratlane.com/stores/stores/adajan-surat-308/catalog|company_website|Large (Titan brand showroom)|high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; AMC|Multiple Surat stores (Adajan, Ghod Dod)|Multi-store Surat presence|80|A|Store/Admin manager|Existence-verified (contact pending)|Ghod Dod Road store also operating
