company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
ADDA Architects & Urban Designers|Architecture & CAD/Engineering|Architecture firm|Vesu|1001, Western Vesu Point, Opp. S.N.S Square, University Road, Vesu Cross Road, Surat, Gujarat 395007|https://www.addaarchitects.in/|91062 38875|studio@addaarchitects.in|https://www.addaarchitects.in/contacts|Company website|Mid (multi-office: Surat + Mumbai)|GPU workstations (RTX) for AutoCAD/Revit/3ds Max rendering; large/dual monitors; NAS for project files; backup; networking; AMC|Operates Surat + Mumbai offices; active urban-design projects|Second office in Mumbai indicates growth|82|A|Principal Architect / Partner|Contact found|Architecture + interior + urban design; strong rendering/compute need
Aditya Sutaria Architects (ASA)|Architecture & CAD/Engineering|Architecture firm|Vesu|207, The Grand Plaza, VIP Road, Vesu, Surat, Gujarat 395007||9909038481||https://www.justdial.com/Surat/Aditya-Sutaria-Architects-Asa-Vesu/0261PX261-X261-220317220322-X4V1_BZDET|JustDial listing|Small-mid|GPU workstations for architecture/interior 3D rendering; dual monitors; NAS; backup; networking; AMC|Award-winning firm; ongoing residential/interior projects|Young growing practice|74|B|Principal Architect / Owner|Contact found|Architecture & interior design firm
AANGAN Architects (Aangan Collaborative LLP)|Architecture & CAD/Engineering|Architecture firm|Athwa / Pal-Umra|Patel Faliyu, Pal-Umra Bridge, opp. Karuna Sagar Temple, near Umrigar School, Surat, Gujarat 395007|https://aanganarchitects.org/|9712919996|aangan.architect@gmail.com|https://aanganarchitects.org/contact-us/|Company website|Small-mid|GPU workstations for architecture/urban design rendering; large monitors; NAS; backup; networking; AMC|Residential, cultural and urban projects; featured on ArchDaily|LLP structure; urban-design portfolio expansion|76|A|Principal Architect / Partner|Contact found|Architecture + interior + urban design
Deep Breath Architecture|Architecture & CAD/Engineering|Architecture firm|Piplod|908, Icon Business Hub, Nr Valentine Theater, Piplod, Surat, Gujarat 395007|https://dbarchitecture.in/|9825045687||https://dbarchitecture.in/|Company website|Small-mid|GPU workstations for AutoCAD/3D rendering and walkthroughs; dual monitors; NAS; backup; networking; AMC|Founded 2011 by Ar. Ajay Panchal (20+ yrs); steady residential/commercial pipeline|Established practice with growing commercial work|72|B|Principal Architect / Owner|Contact found|Residential & commercial architecture
The Brick Tales|Architecture & CAD/Engineering|Architecture firm|Surat|Surat, Gujarat|https://www.buildofy.com/architects-interior-design-firms-india/the-brick-tales-surat|9426101122|thebricktales@outlook.com|https://www.buildofy.com/architects-interior-design-firms-india/the-brick-tales-surat|Buildofy profile|Small|GPU workstations for 3D rendering/visualisation; large monitors; NAS; backup; networking; AMC|Founded 2017 by Ar. Rini Singhvi; design-award publicity (ArchDaily)|Young design-led studio; rising profile|66|B|Principal Architect / Owner|Contact found|Design-oriented architecture & interiors; no street address captured
BplusK Architects|Architecture & CAD/Engineering|Architecture firm|Piplod|302, 3rd Floor, Union Heights, B/H Lalbhai Contractor Stadium, Rahulraj Mall Lane, Maharana Pratap Rd, Piplod, Surat, Gujarat 395007|http://bplusk.in/|||https://www.bplusk.in/contact|Company website|Small-mid|GPU workstations for architecture/interior rendering; dual monitors; NAS; backup; networking; AMC|Active client-focused design practice|Studio in prime Piplod commercial hub|64|B|Principal Architect / Partner|Existence-verified (contact pending)|Phone not visible on source
EssTeam Design Services LLP|Architecture & CAD/Engineering|Architecture firm|Piplod / Gymkhana Rd|Samanvay, 4th Floor, Gymkhana Rd, near Chandni Chowk, Surat, Gujarat 395007|http://www.essteam.in/|9909016610||https://www.essteam.in/contact|Company website|Mid|GPU workstations for sustainable-design modelling/rendering; large monitors; NAS; backup; networking; AMC|Sustainability-focused practice; residential & commercial portfolio|LLP; established multidisciplinary team|74|B|Principal Architect / Partner|Contact found|Sustainability-led architecture firm
Mahim Architect|Architecture & CAD/Engineering|AEC / Architecture-Engineering-Construction|Ghod Dod Road|A 1002, 1st Floor, Turning Point Complex, Ghod Dod Road, near Jamna Nagar BRTS, near Fire Station, Surat 395007|https://mahimarchitect.com/|||https://www.indiamart.com/mahim-architect/aboutus.html|IndiaMART profile|Mid-large (multi-branch)|GPU workstations for AEC + MEP 3D/CAD/BIM modelling; dual monitors; NAS/server for multi-office files; backup; structured networking; AMC|Full AEC + valuation + MEP services; offices in Surat, Baroda, Ahmedabad, Rajkot|Multi-branch expansion across Gujarat|84|A|Partner / Principal|Existence-verified (contact pending)|Architecture+Engineering+Construction+MEP; high compute/multi-seat need
Nirman Design Studio (Nirman Architects)|Architecture & CAD/Engineering|Architecture / Interior firm|Surat|SNS Business Park, Surat (partial)|https://www.nirman-architects.com/|||https://www.nirman-architects.com/|Company website|Small-mid|GPU workstations for architecture/interior rendering & furniture design; dual monitors; NAS; backup; networking; AMC|Founded 2014; 100+ projects across residential/commercial/hospitality|11+ years collective expertise; multidisciplinary growth|62|B|Principal Architect / Partner|Existence-verified (contact pending)|Address partial on source; serves clients globally
Samhitha Design Studio|Architecture & CAD/Engineering|Interior design studio|VIP Road|4th Floor, Soham Square, Opp Metro Mall, VIP Road, Surat 395017|https://www.samhithastudio.com/|9998927826|info.samhithastudio@gmail.com|https://www.samhithastudio.com/about-us|Company website|Mid|GPU workstations for 3D rendering & detailed drafting; large monitors; NAS; backup; networking; AMC|Founded 2015; 150+ completed projects; turnkey execution|Steady project growth; residential + commercial interiors|72|B|Principal / Owner|Contact found|Founders Sagar Bhatt & Rahul Tiwari
