company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
General Group (General Polytex)|Textile Manufacturing|Weaving (waterjet/airjet)|Ring Road|A Wing, 601/602, International Commerce Center (ICC), Near Kadiwala School, Ring Road, Surat 395002|https://www.generalgroup.in/|||https://www.indiantextilemagazine.in/surat-fabric-manufacturer-general-group-combines-scale-with-sustainability-plans-ipo/|News/Trade magazine|Very large: ~800 waterjet + ~200 airjet looms, ~1cr metres/month, 1.5M sq ft|ERP/Tally servers; shop-floor & billing PCs; very large-area CCTV across multi-shed facility; networking + Wi-Fi backbone; biometric attendance; AMC|Plans IPO; scale expansion incl BOPET project|IPO plan, BOPET film project, new capacity|92|A|Owner/Director (IT or Admin head)|Existence-verified (contact pending)|One of India's largest polyester fabric makers; massive multi-shed CCTV/network/server opportunity
Loyal Textiles|Textile Manufacturing|Weaving (airjet)|Surat|Weaving unit, Surat (Toyota/Picanol/Somet airjet looms)|https://loyaltextiles.com/weaving/|||https://loyaltextiles.com/weaving/|Company website|Large: 460 airjet/dobby looms, ~2,25,000 m grey fabric/day|ERP servers; shop-floor & billing PCs; large-area multi-shed CCTV; networking + Wi-Fi; biometric attendance; AMC|High-volume modern airjet fleet (modernization)|Modern airjet loom fleet expansion|84|A|Owner/Director or Factory manager|Existence-verified (contact pending)|Large grey fabric weaver; high spend on shop-floor IT and surveillance
Surbhi Textile Mills Pvt Ltd|Textile Manufacturing|Weaving/Embroidery (grey cloth, Schiffli)|Sachin GIDC|Surbhi Estate, A2/6/106, GIDC Sachin, Surat 394230|https://www.surbhi.com/surbhi-textile-mills|||https://www.surbhi.com/surbhi-textile-mills|Company website|Large group since 1976; yarn, woven, Schiffli + multihead embroidery, knits, RMG|ERP/Tally servers; design & billing PCs; multi-shed CCTV; networking + Wi-Fi; biometric attendance; AMC|Vertically integrated multi-unit group; ongoing modernization|Multi-facility group (Sachin + Karanj)|82|A|Owner/Director or Admin manager|Existence-verified (contact pending)|Swiss Schiffli + Korean/Chinese multihead machines; broad IT footprint
Garden Silk Mills Pvt Ltd|Textile Manufacturing|Weaving/Processing (fabric, yarn)|Jolwa (Palsana) / Rampura|Garden House, Rampura Tankina, Surat 395003; manufacturing hub at Jolwa near Surat|https://www.indiamart.com/gardensilkmills/aboutus.html|||https://www.indiamart.com/gardensilkmills/aboutus.html|IndiaMART|Very large legacy textile/yarn manufacturer; Jolwa plant|ERP servers; shop-floor & billing PCs; large-area CCTV; networking + Wi-Fi; biometric attendance; AMC|Large integrated facility; ongoing operations under MCPI|Large integrated Jolwa plant|80|A|Owner/Director or Plant Admin manager|Existence-verified (contact pending)|Major brand; large Jolwa manufacturing hub = high CCTV/network/server needs
Prayagraj Dyeing & Printing Mills Pvt Ltd|Textile Manufacturing|Dyeing & Printing (processing house)|Pandesara|Plot No. 76, GIDC, Pandesara, Surat 394221|https://www.prayagrajmills.com/|+91 72111 22284|sales@dalmiaexports.com|https://www.mapsofindia.com/whitepages/businesses/index/prayagrajd|Maps of India / directory|Mid-large: est. 1990; dyeing, printing, digital printing, embroidery, foiling; own ETP + CETP|ERP/Tally servers; billing & design PCs; large-area CCTV (process + ETP); networking + Wi-Fi; biometric attendance; AMC|Expanded into digital printing, flatbed, value-add services|Added flatbed, embroidery, foiling lines|78|A|Owner/Director (Mr. Sanjeev Dalmia)|Contact found|Family-owned processing house; expanding value-added lines; full IT/CCTV scope
Laxmipati (Weaving + Dyeing/Printing Units)|Textile Manufacturing|Weaving + Dyeing/Printing|Sachin GIDC / Pandesara|Weaving: Plot 1, Block 243-246, Rd No 8, GIDC Sachin, Surat 394230; Dyeing/Printing: A-26 Central Park, GIDC Pandesara, Surat 394221|https://laxmipati.com/pages/contact|||https://laxmipati.com/pages/contact|Company website|Large saree brand with own weaving + dyeing/printing units|ERP servers; design, billing & shop-floor PCs; multi-site CCTV; networking + Wi-Fi; biometric attendance; AMC|Vertically integrated brand; two manufacturing units|Separate weaving + dyeing units (multi-site)|80|A|Owner/Director or Admin manager|Existence-verified (contact pending)|Two manufacturing sites (Sachin + Pandesara) = multi-location network/CCTV opportunity
Madhusudan Dyeing & Printing Mills (Madhusudan Group)|Textile Manufacturing|Dyeing & Printing (processing house)|Surat|Madhusudan Group, Surat (dyeing/printing + weaving divisions)|https://madhusudangroup.com/dyeing-printing-mills/|||https://madhusudangroup.com/dyeing-printing-mills/|Company website|Mid-large group; dyeing, digital printing + weaving (Madhusudan Weaves)|ERP/Tally servers; billing & design PCs; large-area CCTV; networking + Wi-Fi; biometric attendance; AMC|Eco-friendly dyeing + digital printing modernization|Digital printing + integrated weaving|76|A|Owner/Director or Admin manager|Existence-verified (contact pending)|Group with both processing and weaving; broad IT/surveillance scope
Sudamo Impex Pvt Ltd (Madhusudan Group)|Textile Manufacturing|Weaving (rapier/waterjet)|Palsana (Baleshwar)|283, Laxminarayan Industrial Estate, NH No. 8, Village Baleshwar, Tal. Palsana, Dist. Surat 394317|https://madhusudangroup.com/weaving/|||https://madhusudangroup.com/weaving/|Company website|Mid-large weaving unit: Picanol Rapier + Tsudakoma Waterjet looms|ERP servers; shop-floor & billing PCs; large-area multi-shed CCTV; networking + Wi-Fi; biometric attendance; AMC|Modern imported loom fleet; supplies domestic + export|Picanol/Tsudakoma modern looms|74|B|Owner/Director or Factory manager|Existence-verified (contact pending)|Latest imported looms; export-oriented; strong shop-floor IT need
Madhusudan Weaves (Madhusudan Group)|Textile Manufacturing|Weaving (rapier/waterjet)|Surat|Madhusudan Group weaving division, Surat|https://madhusudangroup.com/weaving/|||https://madhusudangroup.com/weaving/|Company website|Mid-large weaver: rapier + waterjet loom technology|ERP servers; shop-floor & billing PCs; multi-shed CCTV; networking + Wi-Fi; biometric attendance; AMC|State-of-the-art rapier/waterjet investment|Modern loom technology adoption|72|B|Owner/Director or Factory manager|Existence-verified (contact pending)|Woven fabric supplier; modern loom base
Sumeet Industries Ltd|Textile Manufacturing|Yarn / Texturising (POY/FDY/PTY)|Ring Road / GIDC|Office 504, Trividh Chamber, Opp. Fire Station, Ring Road, Surat 395002|https://www.sumeetindustries.com/|||https://www.sumeetindustries.com/|Company website|Large: est. 1989; CP, POY, FDY, Texturising, Carpet Yarn; integrated plant|ERP servers; plant & billing PCs; large-area CCTV across yarn plant; networking + Wi-Fi; biometric attendance; AMC|Integrated 5-division yarn manufacturing; capacity scale|Integrated CP-POY-FDY-texturising plant|80|A|Owner/Director or Engineering manager (Mr. Vipul Patel)|Existence-verified (contact pending)|Large integrated yarn maker; high-value plant CCTV/network/server scope
