company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Sardar Vallabhbhai National Institute of Technology (SVNIT)|Education|University (NIT/Engineering)|Ichchhanath, Athwa|Ichchhanath, Surat-395007, Gujarat|svnit.ac.in|0261-2259571|director@svnit.ac.in|https://surat.nic.in/public-utility/sardar-vallabhbhai-national-institute-of-technology/|Govt directory + official site|Very large (NIT, thousands of students)|computer-lab desktops (bulk); HPC/lab servers & storage; campus networking + Wi-Fi; CCTV; AMC|Premier NIT, ongoing research lab & infra upgrades; NIRF-ranked|Continuous central-govt funded lab/research expansion|92|A|Director / Registrar / IT Head|Contact found|NIRF rank ~58; institute of national importance; large recurring IT spend
Indian Institute of Information Technology Surat (IIIT Surat)|Education|University (IIIT/Engineering)|Kholvad, Kamrej (temp: SVNIT Campus, Ichchhanath)|IIIT Surat, SVNIT Campus, Ichchhanath, Surat-395007|iiitsurat.ac.in|02621-298060|office@iiitsurat.ac.in|https://www.iiitsurat.ac.in/|Official site + Wikipedia|Large & growing (IT-focused, est. 2017)|computer-lab desktops (bulk); servers/storage; campus networking + Wi-Fi; CCTV; smart-class panels; AMC|New permanent campus under construction at Kholvad/Kamrej|New campus build-out = greenfield IT fit-out|90|A|Director / Registrar / IT Head|Contact found|PPP-mode institute of national importance; IT-centric = high per-student hardware
Veer Narmad South Gujarat University (VNSGU)|Education|University (State)|Udhna-Magdalla Road|Post Box No. 49, Udhna Magdalla Road, Surat-395007|vnsgu.ac.in|0261-2227141|info@vnsgu.ac.in|https://surat.nic.in/public-utility/veer-narmad-south-gujarat-university/|Govt directory + official site|Very large (280+ affiliated colleges)|computer-lab desktops (bulk); exam/data-center servers & storage; campus networking + Wi-Fi; CCTV; AMC|Digital exam systems, e-governance, NAAC; affiliating university|Large affiliating university; ongoing digitization|88|A|Registrar / IT/Computer Centre Head|Contact found|Major state university; central exam & admin IT load
P. P. Savani University|Education|University (Private)|Kosamba, Dhamdod (South Gujarat)|NH48, GETCO, Dhamdod, Kosamba, Surat-394125|ppsu.ac.in|+91-9909962111|info@ppsuni.ac.in|https://surat.nic.in/public-utility/p-p-savani-university/|Govt directory + official site|Large private multi-faculty university|computer-lab desktops (bulk); lab servers/storage; campus networking + Wi-Fi; CCTV; smart-class panels; AMC|Growing private university adding programs/seats|Campus & program expansion|82|A|Director / Registrar / IT Head|Contact found|Engineering+management+polytechnic under one campus = bulk lab demand
Uka Tarsadia University (UTU)|Education|University (Private)|Bardoli/Mahuva (South Gujarat)|Maliba Campus, Gopal Vidyanagar, Bardoli-Mahuva Road, Tarsadi-394350, Surat|utu.ac.in|02625-290020|ceo@utu.ac.in|https://surat.nic.in/public-utility/uka-tarsadia-university/|Govt directory + official site|Very large multi-faculty private university|computer-lab desktops (bulk); lab servers/storage; campus networking + Wi-Fi; CCTV; smart-class; AMC|Multi-faculty campus, NAAC; engineering/pharmacy/IT labs|Steady program & infra growth|84|A|Registrar / IT Head|Contact found|Large Maliba/UTU campus; multiple professional colleges = high hardware spend
Bhagwan Mahavir University (BMU)|Education|University (Private)|Vesu|Sr. No. 149, VIP Road, Bharthana Road, Vesu, Surat-395007|bmusurat.ac.in|0261-6770102|info@bmusurat.ac.in|https://surat.nic.in/public-utility/uka-tarsadia-university/|CollegeBatch + official site|Large private university (100+ courses)|computer-lab desktops (bulk); lab servers/storage; campus networking + Wi-Fi; CCTV; smart-class panels; AMC|Rapidly growing university adding engineering/IT/management seats|New buildings & programs in Vesu|83|A|Director / Registrar / IT Head|Contact found|Engineering, polytechnic, management colleges = bulk lab desktops
Auro University|Education|University (Private)|Hazira Road, Bhatpore|Earthspace, Hazira Road, Surat-394510|aurouniversity.edu.in|0261-4088100||https://surat.nic.in/public-utility/auro-university/|Govt directory + official site|Mid-large private university (hospitality/management/law/IT)|computer-lab desktops; lab servers; campus networking + Wi-Fi; CCTV; smart-class panels; AMC|Modern campus; design/IT/management labs|Program expansion|78|A|Director / Registrar / IT Head|Existence-verified (contact pending)|Premium private university; email not captured on source
Vanita Vishram Women's University|Education|University (Private/Women)|Athwa Gate|C Building, Vanita Vishram Campus, Athwa Gate, Surat-395001|vvwusurat.ac.in|0261-2300200|office@vvwusurat.ac.in|https://vvwusurat.ac.in/|Official site|Large (first women's university in Gujarat)|computer-lab desktops (bulk); lab servers; campus networking + Wi-Fi; CCTV; smart-class; AMC|New women's university scaling up programs/seats|New university build-out & growth|80|A|Registrar / IT Head|Contact found|Greenfield university = strong fit-out demand
Sarvajanik College of Engineering & Technology (SCET)|Education|Engineering College|Athwalines|Dr. R.K. Desai Marg, Opp. Mission Hospital, Athwalines, Surat-395001|scet.ac.in|0261-2240146||https://scet.ac.in/|Official site|Large engineering college (est. 1995)|computer-lab desktops (bulk); lab servers; campus networking + Wi-Fi; CCTV; AMC|Established engineering college; NBA/NAAC lab upgrades|Constituent institute expansion|82|A|Principal / IT Head|Existence-verified (contact pending)|Multiple engineering branches; large computer labs
C. K. Pithawala College of Engineering & Technology (CKPCET)|Education|Engineering College|Dumas Road, Magdalla|Pithawalla Educational Complex, Via Magdalla Port, Dumas Road, Surat-395007|ckpcet.ac.in|0261-2766246||https://ckpcet.ac.in/|Official site|Large engineering college|computer-lab desktops (bulk); lab servers; campus networking + Wi-Fi; CCTV; AMC|Engineering labs; GTU/AICTE accreditation pushes|Campus growth|80|A|Principal / IT Head|Existence-verified (contact pending)|CSE/IT branches drive bulk desktop demand
