company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Surat Marriott Hotel|Hospitality & Real Estate|Hotel (5-star)|Athwa / City Light|City Light Road, Surat|https://www.marriott.com/en-us/hotels/stvmc-surat-marriott-hotel/overview/|||https://www.marriott.com/en-us/hotels/stvmc-surat-marriott-hotel/overview/|Hotel official site|Large 5-star, full-service|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; IPTV; AMC|Established premium chain property; ongoing refresh cycles|Marriott expanding in Tier-2 Surat|82|A|GM / IT Manager|Existence-verified (contact pending)|Branded 5-star; high IT standardization and recurring AMC potential
Courtyard by Marriott Surat|Hospitality & Real Estate|Hotel (5-star)|Hazira Road|Earthspace, Hazira Road, Surat 394510|https://www.marriott.com/en-us/hotels/stvcy-courtyard-surat/overview/|||https://www.hotelplanner.com/Hotels/319130/Reservations-Courtyard-by-Marriott-Surat-Surat-Earthspace-Hazira-Rd-394510|Hotel listing|Large 5-star business hotel|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; IPTV; AMC|Business hotel near Hazira industrial belt|Marriott Tier-2 expansion|80|A|GM / IT Manager|Existence-verified (contact pending)|Address from hotelplanner listing
The Grand Bhagwati (TGB) Surat|Hospitality & Real Estate|Hotel (5-star)|Dumas Road / Magdalla|Magdalla Circle, Near City Pulse Cinema, Dumas Road, Surat 395007|https://thegrandbhagwati.com/|0261-3980111||https://gujarattourism.com/accommodation/registered-hotels/the-grand-bhagwati--surat.html|Govt tourism registry|Large 5-star with banquets|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; banquet AV; AMC|Established banquet + hotel complex|Strong MICE/banquet business|81|A|GM / Owner|Contact found|Phone from Gujarat Tourism registry; banquet venue adds AV/networking needs
Lords Plaza Surat|Hospitality & Real Estate|Hotel (4-star)|Delhi Gate|Delhi Gate, Ring Road, Surat|https://www.lordshotels.com/|0261-3066666||https://gujarattourism.com/accommodation/registered-hotels/lords-plaza--surat.html|Govt tourism registry|Mid-large business hotel|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; AMC|Central-city business hotel|Lords chain presence|74|B|GM / IT Manager|Contact found|Phone from Gujarat Tourism registry
The Gateway Hotel Athwalines (Taj/IHCL)|Hospitality & Real Estate|Hotel (5-star)|Athwalines|Ambika Niketan, Athwalines, Dumas Road, Surat|https://www.tajhotels.com/en-in/destination/hotels-in-surat|0261-6697000||https://www.gujarattourism.com/accommodation/registered-hotels/the-gateway-hotel-athwalines.html|Govt tourism registry|Large 5-star (IHCL)|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; IPTV; AMC|IHCL/Taj-managed property|Premium chain operations|80|A|GM / IT Manager|Contact found|Phone from Gujarat Tourism registry
Park Inn by Radisson Surat|Hospitality & Real Estate|Hotel (4-star)|City Centre / near Tapi River|Surat (within 7 km of Surat International Airport)|https://www.radissonhotels.com/en-us/hotels/park-inn-surat|||https://www.radissonhotels.com/en-us/corporate/media/press-releases/opening-park-inn-by-radisson-surat|Press release|New mid-large hotel, 185 sqm event space|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; event AV; AMC|Newly opened property|New hotel launch (Radisson) - fresh IT fit-out window|84|A|GM / IT Manager|Existence-verified (contact pending)|Recently opened; new-build = strong greenfield IT/CCTV/Wi-Fi opportunity
The Fern Vishranta Resort Kamrej-Surat (Series by Marriott)|Hospitality & Real Estate|Resort|Kamrej|Kamrej, Surat|https://www.marriott.com/|||https://www.hotelierindia.com/development/marriott-debuts-series-by-marriott-globally-expanding-its-30-extraordinary-hotel-brands|Trade news|Resort, 89 rooms|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; AMC|Newly converted to Series by Marriott|Brand conversion = systems upgrade|78|A|GM / IT Manager|Existence-verified (contact pending)|Converted into Marriott portfolio; conversion often triggers IT/network refresh
Hilton Garden Inn Surat City Centre|Hospitality & Real Estate|Hotel (4-star)|City Centre|Surat City Centre|https://www.hilton.com/en/hotels/stvgigi-hilton-garden-inn-surat-city-centre/|||https://www.hilton.com/en/hotels/stvgigi-hilton-garden-inn-surat-city-centre/|Hotel official site|Mid-large business hotel|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; AMC|Branded business hotel, central|Hilton brand standards|78|A|GM / IT Manager|Existence-verified (contact pending)|Branded chain; standardized IT and AMC needs
Regenta - The World Surat|Hospitality & Real Estate|Hotel (4-star)|Surat|Surat|https://www.regentahotels.com/|||https://us.trip.com/hotels/luxury/city/in/surat.html|Hotel aggregator|Mid-size full-service hotel|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; AMC|Royal Orchid/Regenta brand property|Chain operations|72|B|GM / IT Manager|Existence-verified (contact pending)|Listed among Surat luxury hotels
Ginger Surat|Hospitality & Real Estate|Hotel (budget/3-star)|City Centre|Near Surat Railway Station, Surat|https://www.gingerhotels.com/hotels/ginger-surat|||https://www.gingerhotels.com/hotels/ginger-surat|Hotel official site|Mid budget business hotel|PMS server; front-desk PCs; guest Wi-Fi + networking; CCTV; AMC|Taj/IHCL budget brand|Lean-IT smart hotel model|66|B|GM / IT Manager|Existence-verified (contact pending)|Ranked #10/87 hotels Surat on Tripadvisor; chain standardized IT
