company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Kataria Automobiles (Maruti Suzuki Arena & Nexa)|Automobile Dealership|Car dealer (Maruti Arena/Nexa)|Piplod|Kataria Arcade, Opp. Rajhans Multiplex, Dumas Road 395007, Piplod, Surat|https://maruti.kataria.co.in/|7572900000|contactus@kataria.co.in|https://www.nexaofpiplodroad.com/contact-us|Brand dealer site|Large multi-state dealer group (Gujarat/Maharashtra/Rajasthan)|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC|Multi-outlet Arena+Nexa+workshop network in Surat|No.1 Maruti dealer; multi-city expansion across 3 states|88|A|Dealer Principal / IT Head|Contact found|Operates separate Arena (Piplod) and Nexa (Piplod/Vesu/Sisodra) outlets; high device count
Kiran Motors (Maruti Suzuki Nexa, Vesu)|Automobile Dealership|Car dealer (Maruti Nexa)|Vesu|Nexa showroom, Vesu, Surat|https://www.nexaofvesu.com/|||https://www.nexaofvesu.com/|Brand dealer site|Established Maruti dealer in Gujarat since 1986; also Ather/Suzuki|DMS/billing desktops; showroom + workshop CCTV; networking + guest Wi-Fi; digital signage; AMC|Operates Nexa Vesu plus Ather EV outlets|Multi-brand group (Maruti + Ather + Suzuki two-wheeler)|80|A|Dealer Principal / Admin|Existence-verified (contact pending)|Kiran Motors Group runs Nexa of Vesu; long-established dealer
Amar Cars (Maruti Suzuki Arena/Nexa)|Automobile Dealership|Car dealer (Maruti Arena/Nexa)|Kapodra|Amar Cars Arena Kapodara, Navjeevan Compound, Opp Jalaram Furniture, Kapodra, Surat|https://amarcars.com/|9925246251||https://www.arenaofkapodara.com/|Brand dealer site|Multi-city Maruti dealer across Gujarat|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC|Arena Kapodara + Nexa Adajan + Varachha workshop|Multiple Surat outlets plus other Gujarat cities|82|A|Dealer Principal / IT Head|Contact found|Sales 9925246251; service 9081711990; Nexa Adajan at Marvella Business Hub
Dhru Motors (Maruti Suzuki True Value, City Light)|Automobile Dealership|Used car dealer (Maruti True Value)|City Light|City Light, Surat|https://www.truevalueofcitylight.com/|||https://www.truevalueofcitylight.com/|Brand dealer site|Authorized Maruti True Value certified used-car outlet|Billing/inventory desktops; lot + showroom CCTV; networking; AMC|Certified used-car outlet with inspection bay|Operates multiple True Value outlets (City Light, Katargam)|66|B|Owner / Admin|Existence-verified (contact pending)|Also runs True Value of Katargam; used-car chain
Navjivan Hyundai|Automobile Dealership|Car dealer (Hyundai)|Udhna-Magdalla|Shiv Ashish Industrial Estate SOC 1-11, Near Devchand Nagar, Udhna-Magdalla Road, Surat 394210|https://navjivan.hyundaimotor.in/|||https://navjivan.hyundaimotor.in/|Brand dealer site|Authorized Hyundai dealer, Surat|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC|Showroom + service network|Multi-outlet Hyundai dealer in Surat|78|A|Dealer Principal / IT Head|Existence-verified (contact pending)|One of 8+ Hyundai dealers in Surat
Eminent Hyundai|Automobile Dealership|Car dealer (Hyundai)|Varachha|Service centre in Varachha, Surat|https://eminent.hyundaimotor.in/|||https://eminent.hyundaimotor.in/|Brand dealer site|Authorized Hyundai dealer with Varachha service centre|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; AMC|Separate showroom + service facility|Hyundai dealer expanding service footprint|76|A|Dealer Principal / Admin|Existence-verified (contact pending)|Showroom plus Varachha workshop
Monarch Hyundai|Automobile Dealership|Car dealer (Hyundai)|Surat|Surat, Gujarat|https://monarch.hyundaimotor.in/|||https://monarch.hyundaimotor.in/|Brand dealer site|Authorized Hyundai dealer, Surat|DMS/billing desktops; showroom + workshop CCTV; networking + guest Wi-Fi; digital signage; AMC|Showroom + service|Hyundai dealer in Surat|72|B|Dealer Principal / Admin|Existence-verified (contact pending)|Listed authorized Hyundai dealer
Ganesh Hyundai|Automobile Dealership|Car dealer (Hyundai)|Udhna|Plot No. 189, Ghael Compound, Near BRC Temple, Udhna Sachin Main Road, Udhna, Surat 394210||||https://www.cardekho.com/Hyundai/Surat/cardealers|Aggregator listing|Authorized Hyundai dealer, Surat|DMS/billing desktops; showroom + workshop CCTV; networking + guest Wi-Fi; digital signage; AMC|Showroom + workshop on Udhna Sachin Road|Hyundai dealer in industrial belt|70|B|Dealer Principal / Admin|Existence-verified (contact pending)|Address from CarDekho Surat Hyundai dealer list
Shreeji Automart (Tata Motors, Piplod)|Automobile Dealership|Car dealer (Tata Motors)|Piplod|No 04A/B, Shreeji House, Dumas Road, Opp Big Bazar, Piplod, Surat|https://dealer-locator.cars.tatamotors.com/|||https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-shreeji-automart-piplod-car-dealer-piplod-surat-77053/Home|Brand dealer site|Multi-outlet Tata dealer (Piplod/Katargam/Adajan)|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC|Three+ Tata outlets across Surat|Expanding Tata + EV retail footprint|84|A|Dealer Principal / IT Head|Existence-verified (contact pending)|Also Katargam and Adajan (Gaurav Path) showrooms
Pramukh Tata (Tata Motors, Udhna Magdalla)|Automobile Dealership|Car dealer (Tata Motors)|Udhna Magdalla|Plot No 409/27A, Umiya Nagar Society, Near Chosath Jogni Mata Temple, Udhna Magdalla Road, Surat|https://dealer-locator.cars.tatamotors.com/|7506004762||https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-pramukh-tata-udhna-magdalla-road-car-dealer-udhna-magdalla-road-surat-77062/Home|Brand dealer site|Tata dealer with showroom + Patel Nagar service centre|DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; AMC|Showroom + separate service centre|Tata dealer group in Surat|78|A|Dealer Principal / Admin|Contact found|Also runs Pramukh Automotive (Varachha) Tata showroom; Patel Nagar service
