company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
DMart (Avenue Supermarts) - Surat|Retail & Supermarket|Supermarket/Hypermarket chain|Multiple (Adajan, Singanpor, Pandesara, Nana Varachha, Rander, Vesu)|Multiple stores incl. Kalpana Chawla Marg Adajan Gam 395009; Pandesara Udhna 394221; Vesu|https://www.avenuesupermarts.com||| https://scanx.trade/stock-market-news/stocks/dmart-expands-retail-network-with-new-store-opening-in-surat-gujarat/27264522|News + JustDial/magicpin listings|15+ stores in Surat; national chain 442 stores|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; back-office server/NAS; AMC|New DMart store opened Vesu Surat Dec 2025|Active expansion - 442nd store opened Vesu Dec 2025; 15+ Surat outlets|90|A|Purchase / Regional IT|Existence-verified (contact pending)|Largest organized grocery chain; centralized procurement likely at HO Mumbai but local store fit-outs relevant
Reliance SMART / SMART Bazaar - Surat|Retail & Supermarket|Supermarket/Hypermarket chain|Multiple (Vesu, Piplod, Udhna, Katargam, Magdalla, Anand Mahal Rd, Varachha)|Anand Mahal Building Beside Gail Tower Anand Mahal Main Rd; Kamdhenu Mall Dumas Rd Piplod|https://stores.reliancesmartbazaar.com|18008910001||https://stores.reliancesmartbazaar.com/location/gujarat/surat|Official store locator|8+ hypermarkets in Surat; Reliance Retail|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server; AMC|Multiple format stores operating across Surat|Reliance Retail aggressively expanding SMART/SMART Bazaar formats|88|A|Purchase / Regional IT|Contact found|Toll-free line listed; hardware procurement centralized but multi-store presence strong
Reliance Digital - Surat|Retail & Supermarket|Electronics & home-appliance retail chain|Multiple (Vesu, Varachha, Piplod, Udhna, Adajan)|Corner Walk VIP Rd Opp The Grand Plaza Vesu; Reliance Mega Mall Udhna; Shreeji Arcade Anand Mahal Rd Adajan|https://www.reliancedigitalstores.in|||https://www.reliancedigitalstores.in/location/gujarat/surat|Official store locator|5+ large-format electronics stores|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; AMC|Multiple electronics stores operating; format upgrades|Part of Reliance Retail; high-value electronics needs strong LP-CCTV|82|A|Purchase / IT|Existence-verified (contact pending)|Large-format consumer electronics; demo zones need digital signage
Dhiraj Sons The Mega Store|Retail & Supermarket|Departmental store / Supermarket chain (local)|Multiple (Athwalines, Althan, Surat Ho/Canal Rd, Vadod Gam, Sachin, Nanpura)|Near Chowpati Athwa Gate Athwalines 395001; Sai Vittorio opp Atlanta Shopping Centre Althan 395007|https://dhirajsons.com|||https://dhirajsons.com/|Company website + JustDial|6+ mega stores in Surat; local chain|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server/NAS; AMC|Multi-store local chain across Surat|Established local mega-store chain expanding store count|84|A|Owner / Purchase|Existence-verified (contact pending)|Strong local Surat chain - groceries, garments, consumer durables; decisions likely local (high relevance)
Bansal Super Market|Retail & Supermarket|Supermarket chain (regional)|Pandesara/Bamroli, Dindoli/Navagam|171 KSB Olympia Near Kailash Nagar Cross Rd Bamroli Althan Expy Pandesara; Opp Uma Plaza Kharvasa Rd Dindoli 394210|https://www.bansalsupermarket.com|||https://www.bansalsupermarket.com/contact.php|Company website + JustDial|Multi-city chain (Surat, Vadodara, Mehsana, Halol, Godhra, Visnagar, Patan)|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; back-office server; AMC|Multi-city regional expansion incl. Surat|Regional Gujarat chain - 7+ cities; expanding format|80|A|Owner / Purchase|Existence-verified (contact pending)|Gujarat-grown chain with HO; contact page available - follow up for direct number
Star Bazaar (Trent/Tata) - Surat|Retail & Supermarket|Supermarket/Hypermarket chain|Adajan / Hazira Rd|Imperial Square Building Ground Floor Adajan Pal Rd Hazira Rd 395009 (opp Alishan Enclave)|https://starbazaarindia.com|02614088840||https://gujarat.mallsmarket.com/malls/imperial-square-mall-surat/stores/star-bazaar|Mall directory + asklaila|Tata multi-format hypermarket; present in 2 Surat stores|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server; AMC|Tata launched 2nd Surat store|Tata enterprise expanding hypermarket format in Surat|82|A|Purchase / Operations Manager|Contact found|Phone captured; Tata Group - procurement centralized but store-level needs real
Croma (Infiniti Retail/Tata) - Surat|Retail & Supermarket|Electronics & home-appliance retail chain|Ghoddod Rd/Ram Chowk, Adajan, Pal|Crossway Mall Ghod Dod Rd Ram Chowk 395007; Proton Plus LP Savani Rd Adajan 395009 opp Khodiyar Temple|https://www.croma.com|+919099058861||https://store.croma.com/location/gujarat/surat|Official store locator|3+ large-format electronics stores in Surat|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; AMC|New Croma Gaurav Path Pal store opened|Tata omni-channel electronics retailer expanding Surat footprint|80|A|Purchase / IT|Contact found|Two store phones captured (Ghoddod +919099058861, Adajan +919099061393); high-value stock = critical CCTV
Vijay Sales - Surat|Retail & Supermarket|Electronics & home-appliance retail chain|Piplod, Rander Rd/Tadwadi, Ved Rd/Katargam|Iscon Mall Surat Dumas Rd Opp Shantiniketan Apt Piplod 395007|https://stores.vijaysales.com|+912616712222||https://stores.vijaysales.com/location/gujarat/surat|Official store locator|3+ electronics superstores in Surat|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; AMC|Multiple Surat stores (Piplod, Rander Rd, Ved Rd)|National electronics chain expanding in Surat|80|A|Purchase / IT|Contact found|Piplod store phone captured; electronics retail = strong LP-CCTV + POS need
Bhatia Mobile (Bhatia Communications & Retail India Ltd)|Retail & Supermarket|Mobile retail chain|HQ Ring Rd; stores across Surat (Piplod, Honey Park, Bamroli, etc.)|132 Dr Ambedkar Shopping Centre Ring Rd Surat 395002 (registered office)|https://bhatiamobile.com|+919227610000|support@bhatiamobile.com|https://bhatiamobile.com/about-us/|Company website + Tracxn|Largest South Gujarat mobile chain; 220+ stores (9M FY25)|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server; AMC|Expanding from 81 to 224 stores; entering Maharashtra|Listed company; aggressive multi-store expansion South Gujarat + Maharashtra|95|A|IT / Purchase / Owner|Contact found|HQ in Surat; listed co (BSE 540956); highest-value lead - repeat per-store fit-outs, central IT team
Phone Merchants|Retail & Supermarket|Mobile retail chain|Udhna, Adajan|Shop 44-46 Anupam Amenity Center Udhna Bus Depot Udhana Main Rd 394210; Ankur Apt Muktanand Nagar Rd Adajan|https://www.phonemerchants.in|+919925114800||https://www.sulekha.com/phone-merchants-udhana-main-road-surat-contact-address|Sulekha + company site|ISO 9001 multi-brand mobile chain; est 2000|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; AMC|Multi-store chain established Surat|ISO-certified local mobile retail chain - quality-focused, multi-outlet|76|A|Owner / IT|Contact found|Phone from listing (may be branch-specific); ISO 9001 signals process maturity - IT-spend likely
Apollo Pharmacy - Surat|Retail & Supermarket|Pharmacy / medical-store chain|Multiple (Althan, City Light, Adajan, Green City, Rander Rd, Bhimrad, Palanpur Gam)|Shop 5 VIP Galleria Althan High St Canal Rd; Mann Complex Anand Mahal Rd Adajan; etc.|https://www.apollopharmacy.in|||https://www.apollopharmacy.in/medical-stores/apollo-pharmacy-apollo_pharmacy_althan-surat-11530|Official store locator|50+ pharmacy stores in Surat|bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; back-office server; AMC|50+ stores and growing in Surat|National pharmacy chain - dense Surat network expanding|85|A|Purchase / Regional IT|Existence-verified (contact pending)|Pharmacy POS + cold-chain monitoring + per-store CCTV; 50+ outlets = high recurring need
