company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Surat Municipal Corporation (SMC)|Government & PSU|Municipal Corporation|Surat|Muglisara, Main Road, Surat-395003|https://www.suratmunicipal.gov.in/|||https://www.suratmunicipal.gov.in/|Official .gov.in|Very large ULB; many departments and zones|bulk office desktops; data-center servers + storage; city-wide CCTV + command-center; networking + Wi-Fi; AMC (tender/GeM)|Smart-city e-governance digitization drive; Information Systems Dept modernization|Suman Eye CCTV expansion across schools/gardens/bus stations|94|A|Information Systems Dept head / Central Purchase / Tender cell (GeM + e-tender)|Existence-verified (contact pending)|Parent body for SMIMER, school board, zones; buys via tender; website returned HTTP 403 this session
Surat Smart City Development Ltd (SSCDL)|Government & PSU|Smart City SPV|Surat|1st Floor, South Zone Office, SMC, Opp. Satyanagar, Udhna, Surat-394210|https://www.suratsmartcity.com/|+91-261-2423750|info@suratsmartcity.com|https://www.suratsmartcity.com/SSCDL/Management|Official company site|SPV for smart-city projects; ICCC operator|city-wide CCTV + command-center; data-center servers + storage; networking + Wi-Fi; AMC (tender/GeM)|Suman Eye CCTV network rollout; ICCC command-control center commissioned ~Rs69 cr|Ongoing surveillance + sensor expansion under Smart City Mission|97|A|Director & CEO / Project (CCTV) cell / Tender section (RFP route)|Contact found|Issued SUMAN Eye CCTV RFP (SSCDL-SumanEye-RFP-01-2018); Delta video walls in command center; CEO listed as Ms. Swati P. Desai per snippet
Surat Urban Development Authority (SUDA)|Government & PSU|Urban Development Authority|Surat|SUDA Bhavan, Vesu-Abhva Road, Vesu, Surat-395007|https://www.sudaonline.org/|(0261) 2500050|sudaonline1978@gmail.com|https://www.sudaonline.org/contact-us-2/|Official site|Mid-large development authority|bulk office desktops; networking + Wi-Fi; CCTV; AMC (tender/GeM)|e-governance/digitization; new SUDA Bhavan office IT fit-out|Town-planning + GIS digitization drive|74|B|Technical/Estate branch head / Accounts / Tender cell (GeM)|Contact found|Multiple departmental emails listed; phones 0261-2465007/08/09
Surat District Collectorate|Government & PSU|District Administration|Surat|Jilla Seva Sadan-2, B-Block, 5th Floor, Athwalines, Surat-395001|https://surat.nic.in/|+91 261 2652525|collector-sur@gujarat.gov.in|https://surat.nic.in/divisions/collectorate/|Official .nic.in|Large district admin; coordinates all dept offices|bulk office desktops; networking + Wi-Fi; CCTV; servers; AMC (tender/GeM)|e-governance/digitization; district-wide IT modernization|New Jilla Seva Sadan IT rollout|78|A|Collector office / District IT (NIC) / Nazar branch purchase (GeM/tender)|Contact found|Coordinates revenue, courts liaison, many sub-offices; phone also 2655151
District & Sessions Court, Surat|Government & PSU|Judiciary / Courts|Surat|District Court Complex, Athwalines, Surat-395007|https://surat.dcourts.gov.in/|(0261) 2651805|dcourt-sut@gujarat.gov.in|https://surat.dcourts.gov.in/contact-us/|Official dcourts.gov.in|Large court complex; many courtrooms|bulk office desktops; networking + Wi-Fi; CCTV; servers/storage; AMC (e-courts)|e-courts digitization; computer center expansion|Court complex modernization / video-conferencing|72|B|Computer Center / Nazir (purchase) / e-courts cell (GeM/tender)|Contact found|Dedicated computer center (0261-2967177); e-court services live
Surat City Police Commissionerate|Government & PSU|Police / Law Enforcement|Surat|Commissioner of Police Office, Surat|https://cpsurat.gujarat.gov.in/|0261-2244440|cp-sur@gujarat.gov.in|https://cpsurat.gujarat.gov.in/cpsurat/CMS.aspx?content_id=5497|Official .gov.in|Large city-wide force; many stations|city-wide CCTV + surveillance; bulk desktops; networking + Wi-Fi; servers/storage; AMC|Safe-city / surveillance expansion; control-room modernization|Integration with Smart City CCTV / new control room|85|A|IT cell / Control Room / Police HQ purchase (GeM/tender)|Contact found|Control room 0261-2461200; telephone directory public; links to Smart City surveillance
Sumul Dairy (Surat-Tapi District Co-op Milk Producers Union Ltd)|Government & PSU|Cooperative / Dairy|Surat|Post Box No. 501, Sumul Dairy Road, Surat-395008|https://www.sumul.com/|+91 261 2537693||https://www.sumul.com/sumul-contact.html|Official site|Very large cooperative; multiple plants/parlours|bulk office desktops; plant/parlour CCTV; networking + Wi-Fi; servers/storage; AMC|Cold-chain + parlour expansion; ERP/digitization|New plants and retail parlour network growth|80|A|IT / Systems Dept / Purchase Dept (direct + tender)|Existence-verified (contact pending)|Large cooperative buyer; multiple Surat phone lines listed; toll-free 1800-121-4400
Agricultural Produce Market Committee (APMC), Surat|Government & PSU|Cooperative / Market Yard|Surat|Sardar Vegetable Market, Puna Kumbhariya Road, Dumbhal, Surat-395001|http://surat.apmc.org.in/|||http://surat.m.apmc.org.in/|Official apmc.org.in|Large market yard; biggest fruit market in Gujarat|market-yard CCTV + surveillance; bulk desktops; networking + Wi-Fi; weighbridge IT; AMC|Market digitization / e-NAM; new market-yard blocks|Surveillance + access control across yards|68|B|Secretary / Market admin / Purchase (tender/GeM)|Existence-verified (contact pending)|Multiple yard locations (Sahara Darwaja, Nizar, Dumbhal); established 1951
ONGC Hazira Plant|Government & PSU|PSU / Oil & Gas|Hazira, Surat|Hazira Plant, PO ONGC Nagar, Surat-394518|https://ongcindia.com/|0261-2875600||https://ongcindia.com/web/eng/about-ongc/contact-us/our-offices/|Official PSU site|Very large gas processing complex|bulk office desktops; plant CCTV + access control; data-center servers/storage; networking + Wi-Fi; AMC (GeM/tender)|Plant IT modernization; OT/IT security; surveillance upgrade|Capacity + facility expansion at Hazira|88|A|IT/IS Dept (Hazira) / Materials & Contracts (GeM/e-procurement)|Existence-verified (contact pending)|Maharatna PSU; buys via GeM/e-procurement; fax 0261-2875575
GAIL (India) Ltd - Hazira Compressor Station|Government & PSU|PSU / Oil & Gas|Hazira, Surat|Ichchhapur Magdalla Road, Hazira Compressor Station, Hazira, Surat-394270|https://www.gailonline.com/|261-2840034|RD00441@gail.co.in|https://www.gailonline.com/Hazira.html|Official PSU site|Large compressor station / pipeline base|plant CCTV + access control; bulk desktops; servers/storage; networking + Wi-Fi; AMC (GeM)|OT/IT security; pipeline SCADA + surveillance modernization|Network/station expansion in Hazira belt|82|A|O&M / IT cell / Materials (GeM/e-procurement)|Contact found|Maharatna PSU; named officers R Damodharan, T S Baghel (ts.baghel@gail.co.in)
NTPC Kawas (Gas Power Station)|Government & PSU|PSU / Power Generation|Kawas, Hazira, Surat|A-NTPC, Kawas, Hazira Road, Aditya Nagar, Choryasi, Surat-394510|https://ntpc.co.in/|||https://en.wikipedia.org/wiki/NTPC_Kawas|Wikipedia + NTPC tender portal|Large gas-based combined-cycle power plant|plant CCTV + access control; bulk desktops; servers/storage; networking + Wi-Fi; AMC (GeM)|Plant IT/OT modernization; surveillance upgrade|Station upgrades / staff colony IT|80|A|IT cell / C&M (Contracts) (NTPC e-tender / GeM)|Existence-verified (contact pending)|Maharatna PSU; tenders via ntpctender.ntpc.co.in (Location 62)
GIPCL - Surat Lignite Power Plant|Government & PSU|PSU / Power Generation|Mangrol, Surat|PO Nani Naroli-394110, Tal. Mangrol, Dist. Surat|https://www.gipcl.com/|+91-265-2232768|info@gipcl.com|https://www.gipcl.com/surat-lignite-power-plant-unit-1-2.htm|Official company site|Large lignite power complex (1184 MW portfolio)|plant CCTV + access control; bulk desktops; servers/storage; networking + Wi-Fi; AMC (tender/GeM)|Plant modernization; solar/wind asset IT integration|Phase-II 250 MW + solar additions|78|A|IT Dept / Purchase / Materials (tender/GeM)|Contact found|Gujarat govt PSU; corporate office Vadodara; SLPP in Surat district
Krishak Bharati Cooperative Ltd (KRIBHCO) - Hazira|Government & PSU|Cooperative / Fertilizer PSU|Hazira, Surat|Hazira Fertilizer Complex, PO KRIBHCO Nagar, Surat-394515|https://www.kribhco.net/|0261-2862766|webmaster@kribhco.net|https://www.kribhco.net/contact.html|Official site|Very large fertilizer complex (cooperative)|plant CCTV + access control; bulk desktops; servers/storage; networking + Wi-Fi; AMC (GeM/tender)|Plant IT modernization; surveillance upgrade|Township + plant facility upgrades|80|A|IT/Systems / Materials & Purchase (GeM/e-procurement)|Contact found|National cooperative society; fax 0261-2860283; alt email chandrasekharan@kribhcosurat.com
