company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Gangar Eyenation (Adajan)|Local Retail SME|Optician/Eyewear|Adajan|Shreeji Arcade, Anand Mahal Road, Adajan, Surat 395009|https://www.gangareyenation.com/optometrist-sunglasses-store-near-me-adajan-surat/|02612745300||https://www.gangareyenation.com/optometrist-sunglasses-store-near-me-adajan-surat/|Business website|Independent showroom (multi-store local brand)|POS/billing desktop; CCTV for high-value eyewear; networking + Wi-Fi; AMC|High-value inventory needs surveillance; multi-counter billing|Operates more than one local store|72|B||Existence-verified (contact pending)|Only landline found; eyewear retailer, good CCTV+POS fit
Dhwani Opticals|Local Retail SME|Optician/Eyewear|City Light Road|City Light Road, Surat|https://www.hindustanyellowpages.in/Surat/Dhwani-Opticals/City-Light-Road|9825885821||https://www.hindustanyellowpages.in/Surat/Dhwani-Opticals/City-Light-Road|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|High-value eyewear stock drives CCTV adoption|Prime City Light location|74|B||Contact found|Real mobile captured; strong eyewear POS+CCTV prospect
Blink Opticals|Local Retail SME|Optician/Eyewear|City Light Road|City Light Road, Surat|https://www.hindustanyellowpages.in/Surat/Blink-Opticals/City-Light-Road|8866222777||https://www.hindustanyellowpages.in/Surat/Blink-Opticals/City-Light-Road|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|Premium eyewear positioning; surveillance need|Has own brand website blinkopticals.com|74|B||Contact found|Real mobile captured; premium eyewear retailer
Royal Opticals|Local Retail SME|Optician/Eyewear|Bhagatalao|Bhagatalao, Surat|https://www.hindustanyellowpages.in/Surat/ROYAL-OPTICALS/Bhagatalao|9327380171||https://www.hindustanyellowpages.in/Surat/ROYAL-OPTICALS/Bhagatalao|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|High-value optical inventory|Established local optician|70|B||Contact found|Real mobile captured
Divyang Opticals|Local Retail SME|Optician/Eyewear|Adajan|Opposite Mahalaxmi Fast Food, Adajan Dn, Surat|https://www.facebook.com/divyangopticals.in/|9825403704||https://www.hindustanyellowpages.in/Mobile/9825403704|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|Two mobile lines suggest growing ops|Active Facebook presence + listings|73|B||Contact found|Two numbers listed (9825403704/9033090110); FB page active
J J Opticals|Local Retail SME|Optician/Eyewear|Kamrej|Gopal Nagar Shopping Centre, Char Rasta, Kamrej, Surat|https://helloindia.co/Surat/J-J-OPTICALS/Kamrej/ContactUs|9825127171||https://helloindia.co/Surat/J-J-OPTICALS/Kamrej/ContactUs|Directory (HelloIndia)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|Optical stock needs surveillance|Kamrej (Surat outskirt) shop|66|B||Contact found|Mobile + landline (0262-1251152) captured
Sarita Sagar Sports|Local Retail SME|Sports Goods|Adajan|Adajan, Surat|https://www.hindustanyellowpages.in/Surat/Sarita-Sagar-Sports/Adajan|9374143945||https://www.hindustanyellowpages.in/Surat/Sarita-Sagar-Sports/Adajan|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|Seasonal sports inventory; billing needs|Established Adajan sports shop|66|B||Contact found|Real mobile captured
Surat Sports|Local Retail SME|Sports Goods|Adajan Road|Hazira-Adajan Rd, Krishna Nagar Society, Adajan, Surat 395009|https://www.justdial.com/Surat/Surat-Sports-Adajan-Road/0261PX261-X261-180816214057-C8B3_BZDET|9227447923||https://www.justdial.com/Surat/Surat-Sports-Adajan-Road/0261PX261-X261-180816214057-C8B3_BZDET|Directory (JustDial)|Single store, owner-run (since 1995)|POS/billing desktop; CCTV; Wi-Fi; AMC|Long-established; inventory billing|Established 1995, 123 reviews|68|B||Contact found|Real mobile captured; 4-star, 123 reviews
J J Pet Shop|Local Retail SME|Pet Shop|Varachha Road|Shop No-18, Panchvati Vadi, Opp Jolly Enclave, Varachha Road, Surat 395006|https://www.hindustanyellowpages.in/Surat/J-J-Pet-Shop/Varachha-Road|9909779259|jjpetproducts@gmail.com|https://www.helloindia.co/Surat/J-J-Pet-Shop/Varachha-Road|Directory (HelloIndia/HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|158 reviews; multi-channel (own products brand)|Has product brand jjpetproducts; email present|70|B||Contact found|Real mobile + email captured; 4.4, 158 reviews
Mangaldeep Hardware and Paint|Local Retail SME|Hardware/Paint|Surat HO|Surat HO, Surat|https://www.hindustanyellowpages.in/Mobile/9825951881|9825951881||https://www.hindustanyellowpages.in/Mobile/9825951881|Directory (HindustanYellowPages)|Single store, owner-run|POS/billing desktop; CCTV; Wi-Fi; AMC|Hardware+paint stock; counter billing|Combined hardware & paint lines|67|B||Contact found|Real mobile captured
