company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Diyam Impex|Diamond/Jewellery/Textile Micro-SME|Lab-grown/CVD diamond manufacturer|Gitanjali|102, Maitri Buildings, nr. Jeevandhara Hotel, Gitanjali, Surat, Gujarat|diyamimpex.com|9824962072|diyamimpex@gmail.com|https://www.diyamimpex.com/|Company website|SME lab-grown manufacturer/distributor|planning/billing PCs; CCTV (critical); networking + Wi-Fi; NAS; AMC|Polished LGD manufacturing + distribution; data/inventory security need|Active manufacturer + distributor with multiple contact lines|72|B|Owner/sales line listed (3 mobiles)|Contact found|3 phone lines listed (98249 62072, 98251 07116, 98251 07539); CVD/LGD; high data-security relevance for NAS/CCTV
Atharva Diamond (Atharva International Trade)|Diamond/Jewellery/Textile Micro-SME|Diamond cutting & polishing job-work unit|Varachha|105, Vrundavan, Near Gitanjali Petrol Pump, Varachha, Surat - 395006|atharvainternationaltrade.com|9069077577|aitraimpex@gmail.com|https://www.atharvainternationaltrade.com/contact-us.htm|Company website|Small job-work unit (CVD/HPHT cutting-polishing)|CCTV (critical); planning/billing PCs; networking + Wi-Fi; NAS; AMC|Job-work for CVD/HPHT/LGD; hiring (current-jobs page) = growth|Active hiring page + Dubai contact = expansion signal|74|B|Mr. Mahendra (owner/contact)|Contact found|Owner Mr. Mahendra +91-9069077577 (also WhatsApp); est. 1988; does cutting/planning/polishing jobwork
Four Dots Technology|Diamond/Jewellery/Textile Micro-SME|Jewellery CAD/CAM & 3D printing unit|Katargam|G.F/1st/2nd Floor, Plot No-36/A, Nilkanth Industrial Co-op Society, Ved Road, Katargam, Surat - 395004|indiamart.com/four-dots-technology|7942802124||https://www.indiamart.com/four-dots-technology/profile.html|IndiaMART (search snippet)|Small CAD/CAM + 3D-print service (est 2021)|jewellery-CAD workstations/PCs; CCTV; networking + Wi-Fi; NAS; AMC|New unit (est 2021) growing; CAD/CAM workstation-heavy|Young fast-growing firm; sells 3D printers + CAD/CAM services|71|B|Mr. Parth Diyora (owner)|Contact found|CAD/CAM jewellery design = high-spec workstation buyer; est 2021 growth
N H Sales|Diamond/Jewellery/Textile Micro-SME|Lab-grown/CVD diamond manufacturer|Nana Varachha|Plot No 18, Vandana Soc 2, Nana Varachha, Varachha Road, Surat - 395006|nhdiam.com|7942538599||https://www.indiamart.com/n-h-sales/profile.html|IndiaMART (search snippet)|Proprietor firm est 1997 (HPHT/CVD/melee)|planning/billing PCs; CCTV (critical); networking + Wi-Fi; NAS; AMC|LGD/CVD/HPHT manufacturer; inventory + grading data security|Established grower diversifying into HPHT+CVD+melee|70|B|Naimishkumar Lukhi (proprietor)|Contact found|Owner Naimishkumar Lukhi; proprietor firm; LGD manufacturer = NAS/CCTV need
Akshar Diamond Grooving|Diamond/Jewellery/Textile Micro-SME|Diamond grooving/polishing job-work unit|Mahidharpura|Mahidharpura, Surat|||9825393035||https://www.hindustanyellowpages.in/Surat/Akshar-Diamond-Grooving/Mahidharpura|HindustanYellowPages|Micro grooving/polishing job-work (ghanti)|CCTV (critical); planning PCs; networking; AMC|Small jobwork unit in core diamond bazaar|Owner-run grooving/polishing shop in Mahidharpura|62|B|Owner (grooving job-work)|Contact found|Phone 9825393035 in listing title; core-Surat micro jobwork unit
Kesariya Textile|Diamond/Jewellery/Textile Micro-SME|Saree wholesaler/trader (proprietorship)|Ring Road|B 3031-3032, 1st Floor, Millennium Textile Market, Ring Road, Surat|kesariatextile.com|9081995544||https://kesariatextile.com/contact-us/|Company website|Proprietorship saree wholesaler|planning/billing PCs; CCTV; networking + Wi-Fi; AMC|Fancy/vichtra saree wholesaler in Ring Road market|Proprietor shop; catalog/online sales = billing+network need|64|B|Proprietor (Kesariya Textile)|Contact found|Phone +91 9081995544; fancy/border saree wholesaler; Millennium Market
Wholetex (Whole Tex)|Diamond/Jewellery/Textile Micro-SME|Dress-material/saree wholesaler (online catalog)|Ring Road|House no. 4/2317, Inside RKTM Gate No.2, Sahara Darwaja, Ring Road, Surat|wholetex.com|9137381212||https://www.wholetex.com/|Company website|Proprietor wholesaler est 2017 (online catalog)|billing PCs; CCTV; networking + Wi-Fi; NAS; AMC|Online catalog wholesale = billing/network/storage spend|Growing e-catalog wholesaler (sarees/salwar/kurtis)|66|B|Sales/WhatsApp line listed|Contact found|WhatsApp +91 9137381212; alt +91 9327773330; Radha Krishna Textile Market; online ops = IT need
Shreeji Jewellers|Diamond/Jewellery/Textile Micro-SME|Jewellery manufacturer (silver/gold)|Nana Varachha|Shop No. 12, Royal Haven, Building C, Opp Mahalaxmi Society, Nana Varachha, Surat - 395010|indiamart.com/shreejijewellers|9825342244||https://www.indiamart.com/shreejijewellers/about-us.html|IndiaMART (search snippet)|Partnership firm est 1998 (silver/gold mfr)|jewellery-CAD/billing PCs; CCTV (critical); networking; NAS; AMC|Manufacturer/exporter/wholesaler; CZ-gold casting jewellery|Established + exporting = security/billing infra spend|68|B|Owner (partnership, Shreeji)|Contact found|Phone +91 9825342244; est 1998; silver+gold casting; exporter
Royal Jewellers|Diamond/Jewellery/Textile Micro-SME|Jewellery manufacturer/showroom|Varachha|Rachna Chambers, Near Anuradha Society, Baroda Pristage, Varachha Road, Surat - 395006|indiamart.com/royal-jewellers-surat|9825432029|royal.jewel1724@gmail.com|https://www.hindustanyellowpages.in/Surat/Royal-Jewellers/Varachha-Road|HindustanYellowPages|Owner-run jewellery mfr/showroom est 2011|billing PCs; CCTV (critical); networking + Wi-Fi; AMC|Gold/diamond jewellery mfr+retail; showroom security|Manufacturer + showroom = CCTV/billing/AMC need|66|B|Owner (Royal Jewellers)|Contact found|Mobile 9825432029, landline 0261-2553693; est 2011; mfr + showroom
Tattvam Jewels|Diamond/Jewellery/Textile Micro-SME|Diamond jewellery manufacturer (princess-cut)|Varachha (Mini Bazar)|47, Thakordwar Society, Nr Mini Bazar, Varachha Road, Surat - 395006|tattvamjewels.com|9909962697|help@tattvamjewels.com|https://tattvamjewels.com/contact-us/|Company website|Owner-run diamond jewellery mfr (princess-cut)|jewellery-CAD/billing PCs; CCTV (critical); networking; NAS; AMC|Diamond processing + jewellery mfr; wholesale + exports|WhatsApp commerce + back office = networking/NAS need|70|B|Marketing exec line listed (+91 93770 98221)|Contact found|WhatsApp +91 99099 62697; alt 9737321569; mfr+back office; high-value diamond stock = CCTV/NAS
