business_name,whatsapp_number,message
R Wadiwala Securities Private Limited,918401974767,"Namaste R Wadiwala Securities! 🙏 We are a Surat IT hardware & CCTV supplier providing reliable PCs, data backup & CCTV, with quick on-site service & AMC. Great fit for R Wadiwala Securities. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
ADDA Architects & Urban Designers,919106238875,"Namaste ADDA Architects & Urban Designers! 🙏 We are a Surat IT hardware & CCTV supplier providing fast CAD/3D workstations & storage, with quick on-site service & AMC. Great fit for ADDA Architects & Urban Designers. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Amar Cars (Maruti Suzuki Arena/Nexa),919925246251,"Namaste Amar Cars! 🙏 We are a Surat IT hardware & CCTV supplier providing showroom CCTV, billing PCs & networking, with quick on-site service & AMC. Great fit for Amar Cars. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Shreenath Kia,919081924777,"Namaste Shreenath Kia! 🙏 We are a Surat IT hardware & CCTV supplier providing showroom CCTV, billing PCs & networking, with quick on-site service & AMC. Great fit for Shreenath Kia. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Leranath Diamond,919016768648,"Namaste Leranath Diamond! 🙏 We are a Surat IT hardware & CCTV supplier providing diamond-planning workstations, secure CCTV & networking, with quick on-site service & AMC. Great fit for Leranath Diamond. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
The Production House,919820140207,"Namaste The Production House! 🙏 We are a Surat IT hardware & CCTV supplier providing video-editing workstations & fast storage, with quick on-site service & AMC. Great fit for The Production House. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Sarjan Architects & Project Consultants,919879604444,"Namaste Sarjan Architects & Project Consultants! 🙏 We are a Surat IT hardware & CCTV supplier providing fast CAD/3D workstations & storage, with quick on-site service & AMC. Great fit for Sarjan Architects & Project Consultants. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Sopan Infotech Pvt. Ltd.,919725554395,"Namaste Sopan Infotech! 🙏 We are a Surat IT hardware & CCTV supplier providing fast CAD/3D workstations & storage, with quick on-site service & AMC. Great fit for Sopan Infotech. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
"Nanavati Auto (MG Motor, Piplod)",918047493297,"Namaste Nanavati Auto! 🙏 We are a Surat IT hardware & CCTV supplier providing showroom CCTV, billing PCs & networking, with quick on-site service & AMC. Great fit for Nanavati Auto. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Jalaram Khichdi,919327593300,"Namaste Jalaram Khichdi! 🙏 We are a Surat IT hardware & CCTV supplier providing POS billing, CCTV & Wi-Fi, with quick on-site service & AMC. Great fit for Jalaram Khichdi. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Pachchigar Jewellers (Ashokbhai),919879010065,"Namaste Pachchigar Jewellers! 🙏 We are a Surat IT hardware & CCTV supplier providing showroom CCTV, billing PCs & networking, with quick on-site service & AMC. Great fit for Pachchigar Jewellers. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Textile Export India Pvt Ltd,919537548851,"Namaste Textile Export India! 🙏 We are a Surat IT hardware & CCTV supplier providing billing PCs, CCTV & Wi-Fi, with quick on-site service & AMC. Great fit for Textile Export India. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Esscons MEP & Engineering Design Services,918469516900,"Namaste Esscons MEP & Engineering Design Services! 🙏 We are a Surat IT hardware & CCTV supplier providing fast CAD/3D workstations & storage, with quick on-site service & AMC. Great fit for Esscons MEP & Engineering Design Services. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Prashant Parmar Architect (Shayona Consultant),919825866356,"Namaste Prashant Parmar Architect! 🙏 We are a Surat IT hardware & CCTV supplier providing fast CAD/3D workstations & storage, with quick on-site service & AMC. Great fit for Prashant Parmar Architect. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
"Pramukh Tata (Tata Motors, Udhna Magdalla)",917506004762,"Namaste Pramukh Tata! 🙏 We are a Surat IT hardware & CCTV supplier providing showroom CCTV, billing PCs & networking, with quick on-site service & AMC. Great fit for Pramukh Tata. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Alpino Health Foods,918347688000,"Namaste Alpino Health Foods! 🙏 We are a Surat IT hardware & CCTV supplier providing bulk PCs, networking & CCTV, with quick on-site service & AMC. Great fit for Alpino Health Foods. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Ajay's,917096212212,"Namaste Ajay's! 🙏 We are a Surat IT hardware & CCTV supplier providing POS billing, CCTV & Wi-Fi, with quick on-site service & AMC. Great fit for Ajay's. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
Jalaram Khichdi (Vesu),919909903737,"Namaste Jalaram Khichdi! 🙏 We are a Surat IT hardware & CCTV supplier providing POS billing, CCTV & Wi-Fi, with quick on-site service & AMC. Great fit for Jalaram Khichdi. Reply for a quick quote! More: https://share.google/aBy3gHFiA7v4CMu4g"
